estimate_number,estimate_date,customer_name,salesperson,estimate_subtotal,estimate_status,estimate_zoho_id,salesorder_number,salesorder_date,salesorder_status,salesorder_subtotal,so_dead_cost_total,so_dead_profit,so_profit,so_salesperson,salesorder_zoho_id,package_count,package_numbers,package_carriers,package_tracking_numbers,package_statuses,package_total_shipping_charge,po_count,dropship_count,po_vendors,dropship_vendors,po_statuses,po_total_cost,invoice_number,invoice_date,invoice_due_date,invoice_status,invoice_subtotal,invoice_dead_cost_total,invoice_dead_profit,invoice_profit,invoice_vig_rate,invoice_margin_pct,invoice_commission,invoice_balance,invoice_cc_fees,invoice_actual_shipping_cost,is_written_off,written_off_date,paid_in_full_date,invoice_zoho_id,payment_count,total_payments_received,payment_modes,last_payment_date
,,Square Customer,,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,Square-000005,2023-03-17,2023-03-17,paid,93.85,46.92,46.92,28.62,1.30,35.00,14.31,0.00,4.22,0.00,,,,1254360000016111011,1,93.85,Square - Card,2023-03-17
,,Square Customer,,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,Square-000004,2023-03-15,2023-03-15,paid,3341.68,1670.84,1670.84,1019.21,1.30,35.00,509.61,0.00,150.38,0.00,,,,1254360000016060005,1,3341.68,Square - Card,2023-03-15
,,Square Customer,,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,Square-000003,2023-03-14,2023-03-14,paid,10980.16,5490.08,5490.08,3348.95,1.30,35.00,1674.47,0.00,494.11,,,,,1254360000016029013,1,10980.16,Square - Card,2023-03-14
,,Square Customer,,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,Square-000002,2022-11-19,2022-11-19,paid,699.22,349.61,349.61,213.26,1.30,35.00,106.63,0.00,31.46,,,,,1254360000014465079,1,699.22,Square - Card,2022-11-19
,,Square Customer,,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,Square-000001,2022-11-17,2022-11-17,paid,1.97,0.98,0.98,0.60,1.30,35.00,0.30,0.00,0.09,,,,,1254360000014443009,1,1.97,Square - Card,2022-11-17
EST-7371,2026-07-13,YENTSCH'S CONCRETE LLC,RICHARD GRIFFIN,242.55,invoiced,1254360000026973027,,,,,,,,,,0,,,,,0.00,0,0,,,,0.00,9999,2025-06-13,2025-07-13,paid,225.00,94.50,130.50,102.15,1.30,45.40,40.86,0.00,0.00,,,,26 Aug 2025,1254360000027111149,1,242.55,CHECK,2025-08-26
EST-7377,2026-07-13,SOUTHWESTERN ELECTRICAL CONTRACTING,RICHARD GRIFFIN,559.98,invoiced,1254360000027048199,,,,,,,,,,0,,,,,0.00,0,0,,,,0.00,9998,2025-06-13,2025-07-13,paid,559.98,161.00,398.98,356.68,1.30,63.70,142.67,0.00,0.00,,,,09 Aug 2025,1254360000027111083,1,609.39,CHECK,2025-08-09
EST-7370,2026-07-13,CITY OF REDMOND,RICHARD GRIFFIN,1298.94,invoiced,1254360000026973009,,,,,,,,,,0,,,,,0.00,0,0,,,,0.00,9997,2025-06-13,2025-07-13,paid,1199.94,620.82,511.30,356.88,1.30,28.59,142.75,0.00,54.00,57.52,,,02 Jul 2025,1254360000027087997,1,1356.46,AUTHORIZE.NET,2025-07-02
,,SURFACE MD INC,ROSS HAISLER,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,9996,2025-06-13,2025-07-13,paid,139.96,53.33,78.87,69.23,1.30,,27.69,0.00,6.30,15.25,,,,1254360000027087963,1,155.21,AUTHORIZE.NET,2025-07-14
EST-7383,2026-07-13,LL & SONS EXCAVATING,ROSS HAISLER,2668.92,invoiced,1254360000027057075,,,,,,,,,,0,,,,,0.00,0,0,,,,0.00,9995,2025-06-13,2025-07-13,paid,2529.78,1370.84,1158.94,647.35,1.30,30.09,258.94,0.00,113.84,161.47,,,13 Jun 2025,1254360000027087801,1,2830.39,AUTHORIZE.NET,2025-06-13
EST-7365,2026-07-13,ACCG,MONTGOMERY MORGAN,399.99,invoiced,1254360000026895169,,,,,,,,,,0,,,,,0.00,0,0,,,,0.00,9994,2025-06-13,2025-07-13,paid,360.00,272.16,87.84,6.19,1.00,24.40,2.48,0.00,0.00,39.99,,,14 Oct 2025,1254360000027087749,1,399.99,CHECK,2025-10-14
,,DAVID LEECH CONSTRUCTION,MONTGOMERY MORGAN,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,9993,2025-06-13,2025-06-13,paid,8999.00,6666.00,1883.05,968.05,1.00,,387.22,0.00,404.95,0.00,,,,1254360000027087631,8,8999.00,AUTHORIZE.NET,2025-11-20
,,MP CONTRACTING,MONTGOMERY MORGAN,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,9992,2025-06-13,2025-07-13,paid,3819.92,2385.00,1434.92,1252.82,1.00,,501.13,0.00,0.00,0.00,,,,1254360000027087542,1,3991.82,CHECK,2025-08-04
,,GHILOTTI BROS.,MONTGOMERY MORGAN,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,9991,2025-06-13,2025-08-05,paid,4999.90,2996.00,1716.67,880.10,1.00,,352.04,0.00,225.00,282.21,,,,1254360000027087485,1,5744.60,AUTHORIZE.NET,2025-08-12
EST-7372,2026-07-13,GHILOTTI BROS.,MONTGOMERY MORGAN,5462.39,invoiced,1254360000026972029,,,,,,,,,,0,,,,,0.00,0,0,,,,0.00,9990,2025-06-13,2025-08-05,paid,4999.90,2942.50,1770.26,949.65,1.00,35.41,379.86,0.00,225.00,280.43,,,12 Aug 2025,1254360000027087428,1,5742.82,AUTHORIZE.NET,2025-08-12
